num_hrse_pwr,msrp_options_percentage,diff_in_days,TotDaysDown,MonthsIntoWarranty,historical_owners_count,Body_Equipment,Electrics_Electronics,Chassis,Powertrain_electronics,Gasoline_Engine,Diesel_Engine,Transmission,Hybrid_engine,tot_retailer_paid,miles,repair_attempts,days_down,dealer_id,vin,target,ne_date,source,model_year,model_class,issue,state
550,0.11,0,0,6.22580645,6,null,null,null,null,null,null,null,null,null,18000,4,30,56113,4JGDA7EB4KB185027,1,2020-10-05,trade_assist,2019,GLE,Driver Assist Features,NY
550,0.11,2,2,6.48387097,6,null,null,null,null,null,null,null,null,null,18000,4,30,56113,4JGDA7EB4KB185027,1,2020-10-05,trade_assist,2019,GLE,Driver Assist Features,NY
550,0.11,21,23,9.87096774,6,4,1,1,0,0,0,0,0,7730.51,18000,4,30,56113,4JGDA7EB4KB185027,1,2020-10-05,trade_assist,2019,GLE,Driver Assist Features,NY
550,0.11,5,28,11.25806452,6,null,null,null,null,null,null,null,null,null,18000,4,30,56113,4JGDA7EB4KB185027,1,2020-10-05,trade_assist,2019,GLE,Driver Assist Features,NY
550,0.11,13,41,11.32258065,6,1,1,0,0,0,0,0,0,312.92,18000,4,30,56113,4JGDA7EB4KB185027,1,2020-10-05,trade_assist,2019,GLE,Driver Assist Features,NY
550,0.11,14,55,12,6,0,0,0,0,0,0,0,0,166.21,18000,4,30,56113,4JGDA7EB4KB185027,1,2020-10-05,trade_assist,2019,GLE,Driver Assist Features,NY
362,0.15,6,6,28.4516129,1,0,0,1,0,0,0,0,0,1630.08,50000,4,30,05752,4JGDF6EE3HA944755,1,2019-08-13,buyback,2017,GLS,Brakes,CA
362,0.22,3,3,38.06451613,3,2,0,0,0,1,0,1,0,2380.41,50000,4,30,05235,4JGDF6EE6HA827932,1,2023-09-26,buyback,2017,GLS,Engine / Trans Noise,CA
362,0.22,2,5,38.58064516,3,0,1,0,0,0,0,0,0,96,50000,4,30,05235,4JGDF6EE6HA827932,1,2023-09-26,buyback,2017,GLS,Engine / Trans Noise,CA
362,0.22,2,7,39.90322581,3,1,0,0,0,1,0,0,0,1449.36,50000,4,30,05235,4JGDF6EE6HA827932,1,2023-09-26,buyback,2017,GLS,Engine / Trans Noise,CA
362,0.22,1,8,43.12903226,3,0,1,0,0,0,0,0,0,526.64,50000,4,30,05235,4JGDF6EE6HA827932,1,2023-09-26,buyback,2017,GLS,Engine / Trans Noise,CA
362,0.22,1,9,47.12903226,3,null,null,null,null,null,null,null,null,null,50000,4,30,05235,4JGDF6EE6HA827932,1,2023-09-26,buyback,2017,GLS,Engine / Trans Noise,CA
577,0.04,2,2,46.77419355,4,null,null,null,null,null,null,null,null,null,50000,4,30,05270,4JGDF7FEXHA856693,1,2023-04-07,buyback,2017,GLS,Key / Keyless-Go,CA
463,0.05,0,0,0.80645161,6,null,null,null,null,null,null,null,null,null,50000,4,30,05612,4JGDM2DB0PA006281,1,2023-06-30,buyback,2023,EQS,Steering,CA
463,0.05,190,190,2.64516129,6,2,0,0,0,0,0,0,0,5686.2,50000,4,30,05612,4JGDM2DB0PA006281,1,2023-06-30,buyback,2023,EQS,Steering,CA
463,0.05,13,203,8.83870968,6,null,null,null,null,null,null,null,null,null,50000,4,30,05612,4JGDM2DB0PA006281,1,2023-06-30,buyback,2023,EQS,Steering,CA
463,0.05,52,255,15.48387097,6,0,0,2,0,0,0,0,0,4270.9,null,3,30,05612,4JGDM2DB0PA006281,1,2023-06-30,buyback,2023,EQS,Steering,CA
463,0.05,49,304,16,6,null,null,null,null,null,null,null,null,null,null,3,30,05612,4JGDM2DB0PA006281,1,2023-06-30,buyback,2023,EQS,Steering,CA
